id	offset_octets	longueur_octets	type	resume
Process	0	491	global	Source Code: lib/process.js The process object provides information about, and control over, the current Node.js process.
Process.Type.ref	491	595	method	This method makes the IPC channel keep the event loop of the process running if .unref() has been called before.
Process.Type.unref	1086	641	method	This method makes the IPC channel not keep the event loop of the process running, and lets it finish even while the channel is open.
Process.Type.has	1727	1090	method	Verifies that the process is able to access the given scope and reference.
Process.Type.getReport	2817	1110	method	Returns a JavaScript Object representation of a diagnostic report for the running process.
Process.Type.writeReport	3927	808	method	Writes a diagnostic report to a file.
Process.Type.a_note_on_process_i/o	4735	2204	module	process.stdout and process.stderr differ from other Node.js streams in important ways: They are used internally by console.log() and console.error(), respectively.
Process.process_events	6939	291	module	The process object is an instance of EventEmitter.
Process.exit_codes	7230	3055	module	Node.js will normally exit with a 0 status code when no more async operations are pending.
Process.abort	10285	424	method	The process.abort() method causes the Node.js process to exit immediately and generate a core file.
Process.availableMemory	10709	420	method	Gets the amount of free memory that is still available to the process (in bytes).
Process.chdir	11129	1050	method	The process.chdir() method changes the current working directory of the Node.js process or throws an exception if doing so fails (for instance, if the specified directory does not exist).
Process.constrainedMemory	12179	536	method	Gets the amount of memory available to the process (in bytes) based on limits imposed by the OS.
Process.cpuUsage	12715	1488	method	The process.cpuUsage() method returns the user and system CPU time usage of the current process, in an object with properties user and system, whose values are microsecond values (millionth of a secon
Process.cwd	14203	519	method	The process.cwd() method returns the current working directory of the Node.js process.
Process.disconnect	14722	901	method	If the Node.js process is spawned with an IPC channel (see the Child Process and Cluster documentation), the process.disconnect() method will close the IPC channel to the parent process, allowing the
Process.dlopen	15623	1718	method	The process.dlopen() method allows dynamically loading shared objects.
Process.emitWarning	17341	2086	method	The process.emitWarning() method can be used to emit custom or application specific process warnings.
Process.emitWarning	19427	3822	method	The process.emitWarning() method can be used to emit custom or application specific process warnings.
Process.emitWarning.avoiding_duplicate_warnings	23249	1022	module	As a best practice, warnings should be emitted only once per process.
Process.execve	24271	793	method	Replaces the current process with a new process.
Process.exit	25064	3005	method	The process.exit() method instructs Node.js to terminate the process synchronously with an exit status of code.
Process.register	28069	3589	method	This function registers a callback to be called when the process emits the exit event if the ref object was not garbage collected.
Process.registerBeforeExit	31658	799	method	This function behaves exactly like the register, except that the callback will be called when the process emits the beforeExit event if ref object was not garbage collected.
Process.unregister	32457	2180	method	This function remove the register of the object from the finalization registry, so the callback will not be called anymore.
Process.getActiveResourcesInfo	34637	1303	method	The process.getActiveResourcesInfo() method returns an array of strings containing the types of the active resources that are currently keeping the event loop alive.
Process.getBuiltinModule	35940	1827	method	process.getBuiltinModule(id) provides a way to load built-in modules in a globally available function.
Process.getegid	37767	729	method	The process.getegid() method returns the numerical effective group identity of the Node.js process.
Process.geteuid	38496	711	method	The process.geteuid() method returns the numerical effective user identity of the process.
Process.getgid	39207	683	method	The process.getgid() method returns the numerical group identity of the process.
Process.getgroups	39890	792	method	The process.getgroups() method returns an array with the supplementary group IDs.
Process.getuid	40682	633	method	The process.getuid() method returns the numeric user identity of the process.
Process.hasUncaughtExceptionCaptureCallback	41315	454	method	Indicates whether a callback has been set using process.setUncaughtExceptionCaptureCallback().
Process.hrtime	41769	1776	method	This is the legacy version of process.hrtime.bigint() before bigint was introduced in JavaScript.
Process.bigint	43545	1187	method	The bigint version of the process.hrtime() method returning the current high-resolution real time in nanoseconds as a bigint.
Process.initgroups	44732	1464	method	The process.initgroups() method reads the /etc/group file and initializes the group access list, using all groups of which the user is a member.
Process.kill	46196	1451	method	The process.kill() method sends the signal to the process identified by pid.
Process.loadEnvFile	47647	478	method	Loads the .env file into process.env.
Process.memoryUsage	48125	1769	method	Returns an object describing the memory usage of the Node.js process measured in bytes.
Process.memoryUsage.a_note_on_process_memoryusage	49894	744	module	On Linux or other systems where glibc is commonly used, an application may have sustained rss growth despite stable heapTotal due to fragmentation caused by the glibc malloc implementation.
Process.rss	50638	910	method	The process.memoryUsage.rss() method returns an integer representing the Resident Set Size (RSS) in bytes.
Process.nextTick	51548	2642	method	process.nextTick() adds callback to the "next tick queue".
Process.ref	54190	881	method	An object is "refable" if it implements the Node.js "Refable protocol".
Process.resourceUsage	55071	1411	method	import { resourceUsage } from 'node:process'; console.log(resourceUsage()); /* Will output: { userCPUTime: 82872, systemCPUTime: 4143, maxRSS: 33164, sharedMemorySize: 0, unsh
Process.send	56482	750	method	If Node.js is spawned with an IPC channel, the process.send() method can be used to send messages to the parent process.
Process.setegid	57232	1260	method	The process.setegid() method sets the effective group identity of the process.
Process.seteuid	58492	1251	method	The process.seteuid() method sets the effective user identity of the process.
Process.setgid	59743	1222	method	The process.setgid() method sets the group identity of the process.
Process.setgroups	60965	1209	method	The process.setgroups() method sets the supplementary group IDs for the Node.js process.
Process.setuid	62174	1219	method	The process.setuid(id) method sets the user identity of the process.
Process.setSourceMapsEnabled	63393	705	method	This function enables or disables the Source Map support for stack traces.
Process.setUncaughtExceptionCaptureCallback	64098	1276	method	The process.setUncaughtExceptionCaptureCallback() function sets a function that will be invoked when an uncaught exception occurs, which will receive the exception value itself as its first argument.
Process.threadCpuUsage	65374	765	method	The process.threadCpuUsage() method returns the user and system CPU time usage of the current worker thread, in an object with properties user and system, whose values are microsecond values (milliont
